Date-Monthly,"Lao People's Democratic Republic, Retail, Vientiane Capital, Rice (Ordinary,first quality), Kip-real/kg" Commodity Code: 1006_49 ,"Lao People's Democratic Republic, Retail, Vientiane Capital, Rice (Ordinary,first quality), USD/kg" Commodity Code: 1006_49 
May-21,"6,809.09",1.06
Apr-21,"6,844.07",1.06
Mar-21,"6,926.91",1.07
Feb-21,"6,974.05",1.07
Jan-21,"6,952.88",1.08
Dec-20,"6,935.58",1.08
Nov-20,"6,936.41",1.08
Oct-20,"6,908.08",1.08
Sep-20,"6,891.18",1.10
Aug-20,"6,901.90",1.10
Jul-20,"6,827.01",1.08
Jun-20,"7,046.90",1.11
May-20,"7,052.46",1.11
Apr-20,"7,418.52",1.17
Mar-20,"7,453.74",1.18
Feb-20,"7,465.65",1.18
Jan-20,"6,917.87",1.10
Dec-19,"7,517.30",1.19
Nov-19,"7,493.22",1.19
Oct-19,"7,699.13",1.22
Sep-19,"7,393.70",1.17
Aug-19,"7,490.56",1.18
Jul-19,"7,547.80",1.18
Jun-19,"7,236.68",1.13
May-19,,
Apr-19,,
Mar-19,"7,534.70",1.17
Feb-19,"7,553.87",1.17
Jan-19,"7,587.43",1.17
Dec-18,"7,609.46",1.16
Nov-18,"7,558.67",1.16
Oct-18,"7,883.92",1.21
Sep-18,"7,833.62",1.21
Aug-18,"7,551.58",1.16
Jul-18,"7,584.85",1.16
Jun-18,"7,606.55",1.18
May-18,"7,629.88",1.19
Apr-18,"7,646.12",1.20
Mar-18,"7,659.93",1.20
Feb-18,"7,289.09",1.14
Jan-18,"7,316.45",1.14
Dec-17,"7,336.13",1.14
Nov-17,"7,334.65",1.13
Oct-17,"7,706.08",1.20
Sep-17,"7,725.55",1.20
Aug-17,"7,745.88",1.20
Jul-17,"7,770.16",1.19
Jun-17,"7,772.78",1.19
May-17,"7,780.01",1.20
Apr-17,"7,789.73",1.20
Mar-17,"7,805.98",1.20
Feb-17,"7,806.78",1.20
Jan-17,"7,774.73",1.20
Dec-16,"7,733.70",1.20
Nov-16,"7,738.77",1.20
Oct-16,"7,743.57",1.21
Sep-16,"7,749.64",1.23
Aug-16,"7,758.01",1.23
Jul-16,"7,767.72",1.23
Jun-16,"7,804.83",1.23
May-16,"7,863.59",1.23
Apr-16,"7,907.90",1.23
Mar-16,"7,942.81",1.23
Feb-16,"7,936.78",1.23
Jan-16,"7,950.99",1.22
Dec-15,"7,926.03",1.22
Nov-15,"7,900.47",1.22
Oct-15,"7,887.22",1.22
Sep-15,"7,892.00",1.22
Aug-15,"7,308.93",1.13
Jul-15,"7,326.94",1.13
Jun-15,"7,336.71",1.14
May-15,"7,359.13",1.14
Apr-15,"7,385.19",1.14
Mar-15,"7,429.83",1.14
Feb-15,"7,438.12",1.14
Jan-15,"7,416.35",1.14
Dec-14,"7,197.40",1.11
Nov-14,"7,200.52",1.12
Oct-14,"7,191.88",1.12
Sep-14,"6,790.46",1.06
Aug-14,"6,802.70",1.06
Jul-14,"6,851.91",1.06
Jun-14,"7,035.12",1.09
May-14,"7,044.03",1.09
Apr-14,"7,052.60",1.09
Mar-14,"7,111.85",1.09
Feb-14,"7,137.30",1.09
Jan-14,"7,056.37",1.07
Dec-13,"6,899.22",1.05
Nov-13,"7,249.25",1.11
Oct-13,"7,821.54",1.20
Sep-13,"7,614.69",1.16
Aug-13,"7,670.63",1.17
Jul-13,"7,687.37",1.19
Jun-13,"7,753.58",1.20
May-13,"7,798.82",1.21
Apr-13,"7,677.27",1.18
Mar-13,"7,811.24",1.17
Feb-13,"7,971.96",1.17
Jan-13,"7,804.33",1.13
Dec-12,"7,860.23",1.13
Nov-12,"7,917.20",1.12
Oct-12,"7,673.80",1.09
Sep-12,"7,565.75",1.07
Aug-12,"7,618.59",1.07
Jul-12,"7,249.01",1.01
Jun-12,"7,125.38",1.00
May-12,"7,129.37",1.00
Apr-12,"7,156.65",1.00
Mar-12,"7,245.59",1.00
Feb-12,"7,310.70",1.00
Jan-12,"7,332.35",1.00
Dec-11,"7,317.54",1.00
Nov-11,"7,274.22",1.00
Oct-11,"7,276.06",1.00
Sep-11,"7,295.87",1.00
Aug-11,"7,324.93",1.00
Jul-11,"7,351.13",1.00
Jun-11,"7,378.84",1.00
May-11,"7,398.12",1.00
Apr-11,,
Mar-11,"8,585.71",1.12
Feb-11,"8,726.68",1.12
Jan-11,"8,800.36",1.12
Dec-10,"8,865.75",1.12
Nov-10,"8,832.16",1.12
Oct-10,"9,457.31",1.21
Sep-10,"8,970.37",1.13
Aug-10,"8,758.63",1.10
Jul-10,"8,858.94",1.09
Jun-10,"9,090.80",1.09
May-10,"8,119.67",0.97
Apr-10,"8,159.02",0.96
Mar-10,"8,220.49",0.94
Feb-10,"8,273.44",0.94
Jan-10,"8,295.83",0.94
Dec-09,"8,335.10",0.94
Nov-09,"8,376.87",0.94
Oct-09,"8,370.48",0.94
Sep-09,"8,389.50",0.94
Aug-09,"8,406.85",0.94
Jul-09,"8,411.88",0.94
Jun-09,"8,480.34",0.94
May-09,"8,507.38",0.94
Apr-09,"8,553.68",0.93
Mar-09,"8,622.40",0.93
Feb-09,"8,663.62",0.94
Jan-09,"8,914.38",0.97
Dec-08,"8,336.92",0.90
Nov-08,"8,183.84",0.90
Oct-08,"8,047.90",0.90
Sep-08,"7,932.91",0.89
Aug-08,"7,908.51",0.89
Jul-08,"7,974.26",0.89
Jun-08,"9,156.32",1.01
May-08,"8,895.89",0.97
Apr-08,"8,430.85",0.90
Mar-08,"7,378.07",0.77
Feb-08,"7,264.47",0.72
Jan-08,"7,304.83",0.71
Dec-07,"7,018.50",0.67
Nov-07,"6,889.28",0.65
Oct-07,"6,903.57",0.64
Sep-07,"6,742.91",0.63
Aug-07,"6,602.06",0.61
Jul-07,"6,680.59",0.61
Jun-07,"6,727.11",0.61
May-07,"6,581.22",0.59
Apr-07,"6,417.58",0.57
Mar-07,"6,467.38",0.57
Feb-07,"6,482.11",0.57
Jan-07,"6,496.90",0.57
Dec-06,"6,052.99",0.53
Nov-06,"5,942.44",0.51
Oct-06,"5,917.55",0.50
Sep-06,"5,964.52",0.51
Aug-06,"5,734.78",0.49
Jul-06,"5,918.37",0.49
Jun-06,"5,838.38",0.48
May-06,"5,636.25",0.47
Apr-06,"5,669.14",0.46
Mar-06,"5,773.58",0.46
Feb-06,"5,802.32",0.45
Jan-06,"5,846.55",0.44