Date-Monthly,"Myanmar, Retail, Yangon, Rice (Emata, Medium), Kyat-real/kg" Commodity Code: 1006_21 ,"Myanmar, Retail, Yangon, Rice (Emata, Medium), USD/kg" Commodity Code: 1006_21 
Jul-21,366.49,0.40
Jun-21,386.07,0.42
May-21,,
Apr-21,,
Mar-21,,
Feb-21,318.18,0.40
Jan-21,320.53,0.42
Dec-20,319.72,0.42
Nov-20,338.77,0.46
Oct-20,346.24,0.47
Sep-20,325.44,0.43
Aug-20,321.46,0.41
Jul-20,323.28,0.41
Jun-20,346.89,0.43
May-20,352.46,0.44
Apr-20,345.94,0.42
Mar-20,309.19,0.38
Feb-20,296.07,0.36
Jan-20,295.99,0.34
Dec-19,305.17,0.36
Nov-19,323.05,0.37
Oct-19,324.40,0.37
Sep-19,325.89,0.37
Aug-19,327.39,0.37
Jul-19,328.78,0.37
Jun-19,337.06,0.37
May-19,339.03,0.37
Apr-19,342.66,0.37
Mar-19,346.99,0.37
Feb-19,349.99,0.37
Jan-19,395.58,0.41
Dec-18,450.00,0.46
Nov-18,451.75,0.46
Oct-18,455.57,0.47
Sep-18,449.08,0.45
Aug-18,451.67,0.48
Jul-18,455.66,0.50
Jun-18,461.40,0.52
May-18,446.04,0.50
Apr-18,434.68,0.49
Mar-18,436.90,0.49
Feb-18,435.64,0.49
Jan-18,436.17,0.49
Dec-17,439.50,0.48
Nov-17,420.47,0.46
Oct-17,399.90,0.43
Sep-17,403.68,0.43
Aug-17,407.18,0.43
Jul-17,408.44,0.43
Jun-17,409.30,0.43
May-17,409.79,0.43
Apr-17,410.88,0.43
Mar-17,411.22,0.43
Feb-17,400.66,0.42
Jan-17,394.99,0.42
Dec-16,398.18,0.42
Nov-16,395.82,0.44
Oct-16,402.58,0.45
Sep-16,429.34,0.49
Aug-16,402.37,0.47
Jul-16,401.12,0.48
Jun-16,404.41,0.47
May-16,395.12,0.46
Apr-16,373.41,0.43
Mar-16,376.30,0.41
Feb-16,370.86,0.39
Jan-16,363.01,0.37
Dec-15,349.40,0.36
Nov-15,341.30,0.37
Oct-15,345.41,0.37
Sep-15,346.56,0.37
Aug-15,332.61,0.36
Jul-15,337.67,0.37
Jun-15,342.03,0.39
May-15,335.18,0.38
Apr-15,338.39,0.39
Mar-15,342.04,0.41
Feb-15,338.75,0.40
Jan-15,352.33,0.42
Dec-14,355.39,0.42
Nov-14,356.37,0.42
Oct-14,359.17,0.43
Sep-14,359.46,0.44
Aug-14,357.59,0.44
Jul-14,353.22,0.43
Jun-14,333.90,0.41
May-14,335.11,0.41
Apr-14,342.73,0.42
Mar-14,345.34,0.41
Feb-14,337.33,0.39
Jan-14,337.85,0.39
Dec-13,334.44,0.39
Nov-13,342.21,0.41
Oct-13,344.18,0.41
Sep-13,343.63,0.41
Aug-13,344.93,0.40
Jul-13,344.41,0.40
Jun-13,353.20,0.42
May-13,343.33,0.42
Apr-13,342.96,0.43
Mar-13,345.45,0.43
Feb-13,350.51,0.44
Jan-13,342.95,0.44
Dec-12,344.76,0.45
Nov-12,345.63,0.45
Oct-12,347.51,0.45
Sep-12,346.89,0.44
Aug-12,344.16,0.42
Jul-12,343.05,0.41
Jun-12,344.32,0.42
May-12,345.50,0.44
Apr-12,346.44,0.44
Mar-12,347.15,0.44
Feb-12,347.14,0.44
Jan-12,345.71,0.44
Dec-11,357.94,0.47
Nov-11,364.99,0.49
Oct-11,368.98,0.48
Sep-11,368.41,0.49
Aug-11,367.89,0.52
Jul-11,365.89,0.48
Jun-11,372.24,0.50
May-11,386.01,0.50
Apr-11,387.09,0.48
Mar-11,396.51,0.47
Feb-11,388.80,0.46
Jan-11,381.24,0.47