Date-Monthly,"Thailand, Wholesale, Bangkok, Rice (5% broken), USD/kg" Commodity Code: 100640_1 
Aug-21,0.36
Jul-21,0.38
Jun-21,0.41
May-21,0.44
Apr-21,0.45
Mar-21,0.48
Feb-21,0.51
Jan-21,0.50
Dec-20,0.47
Nov-20,0.44
Oct-20,0.43
Sep-20,0.46
Aug-20,0.46
Jul-20,0.44
Jun-20,0.48
May-20,0.46
Apr-20,0.51
Mar-20,0.45
Feb-20,0.40
Jan-20,0.40
Dec-19,0.38
Nov-19,0.37
Oct-19,0.38
Sep-19,0.38
Aug-19,0.38
Jul-19,0.37
Jun-19,0.37
May-19,0.37
Apr-19,0.37
Mar-19,0.36
Feb-19,0.36
Jan-19,0.37
Dec-18,0.36
Nov-18,0.36
Oct-18,0.36
Sep-18,0.36
Aug-18,0.36
Jul-18,0.35
Jun-18,0.38
May-18,0.40
Apr-18,0.40
Mar-18,0.38
Feb-18,0.38
Jan-18,0.39
Dec-17,0.36
Nov-17,0.35
Oct-17,0.35
Sep-17,0.36
Aug-17,0.35
Jul-17,0.38
Jun-17,0.41
May-17,0.37
Apr-17,0.34
Mar-17,0.33
Feb-17,0.33
Jan-17,0.34
Dec-16,0.33
Nov-16,0.32
Oct-16,0.33
Sep-16,0.35
Aug-16,0.38
Jul-16,0.40
Jun-16,0.39
May-16,0.38
Apr-16,0.35
Mar-16,0.34
Feb-16,0.34
Jan-16,0.33
Dec-15,0.32
Nov-15,0.33
Oct-15,0.34
Sep-15,0.32
Aug-15,0.33
Jul-15,0.35
Jun-15,0.34
May-15,0.34
Apr-15,0.36
Mar-15,0.37
Feb-15,0.38
Jan-15,0.38
Dec-14,0.38
Nov-14,0.38
Oct-14,0.39
Sep-14,0.39
Aug-14,0.40
Jul-14,0.38
Jun-14,0.36
May-14,0.34
Apr-14,0.35
Mar-14,0.37
Feb-14,0.41
Jan-14,0.40
Dec-13,0.40
Nov-13,0.40
Oct-13,0.40
Sep-13,0.41
Aug-13,0.44
Jul-13,0.48
Jun-13,0.50
May-13,0.52
Apr-13,0.53
Mar-13,0.53
Feb-13,0.55
Jan-13,0.55
Dec-12,0.53
Nov-12,0.54
Oct-12,0.54
Sep-12,0.54
Aug-12,0.54
Jul-12,0.54
Jun-12,0.57
May-12,0.57
Apr-12,0.52
Mar-12,0.50
Feb-12,0.49
Jan-12,0.49
Dec-11,0.53
Nov-11,0.57
Oct-11,0.56
Sep-11,0.55
Aug-11,0.52
Jul-11,0.49
Jun-11,0.47
May-11,0.43
Apr-11,0.43
Mar-11,0.44
Feb-11,0.48
Jan-11,0.47
Dec-10,0.49
Nov-10,0.47
Oct-10,0.43
Sep-10,0.43
Aug-10,0.41
Jul-10,0.39
Jun-10,0.39
May-10,0.40
Apr-10,0.40
Mar-10,0.45
Feb-10,0.48
Jan-10,0.52
Dec-09,0.53
Nov-09,0.49
Oct-09,0.45
Sep-09,0.47
Aug-09,0.48
Jul-09,0.51
Jun-09,0.51
May-09,0.48
Apr-09,0.47
Mar-09,0.51
Feb-09,0.52
Jan-09,0.52
Dec-08,0.48
Nov-08,0.49
Oct-08,0.53
Sep-08,0.63
Aug-08,0.60
Jul-08,0.63
Jun-08,0.64
May-08,0.75
Apr-08,0.80
Mar-08,0.54
Feb-08,0.42
Jan-08,0.35
Dec-07,0.33
Nov-07,0.32
Oct-07,0.31
Sep-07,0.30
Aug-07,0.30
Jul-07,0.31
Jun-07,0.31
May-07,0.30
Apr-07,0.29
Mar-07,0.30
Feb-07,0.29
Jan-07,0.29
Dec-06,0.29
Nov-06,0.28
Oct-06,0.28
Sep-06,0.29
Aug-06,0.29
Jul-06,0.30
Jun-06,0.29
May-06,0.29
Apr-06,0.29
Mar-06,0.29
Feb-06,0.28
Jan-06,0.28
Dec-05,0.27
Nov-05,0.26
Oct-05,0.27
Sep-05,0.27
Aug-05,0.27
Jul-05,0.26
Jun-05,0.27
May-05,0.28
Apr-05,0.27
Mar-05,0.28
Feb-05,0.27
Jan-05,0.27
Dec-04,0.26
Nov-04,0.24
Oct-04,0.23
Sep-04,0.22
Aug-04,0.22
Jul-04,0.22
Jun-04,0.21
May-04,0.21
Apr-04,0.22
Mar-04,0.22
Feb-04,0.21
Jan-04,0.20
Dec-03,0.18
Nov-03,0.18
Oct-03,0.18
Sep-03,0.18
Aug-03,0.18
Jul-03,0.19
Jun-03,0.19
May-03,0.19
Apr-03,0.18
Mar-03,0.18
Feb-03,0.19
Jan-03,0.19
Dec-02,0.17
Nov-02,0.17
Oct-02,0.17
Sep-02,0.17
Aug-02,0.18
Jul-02,0.18
Jun-02,0.19
May-02,0.19
Apr-02,0.18
Mar-02,0.18
Feb-02,0.18
Jan-02,0.18
Dec-01,0.17
Nov-01,0.16
Oct-01,0.16
Sep-01,0.16
Aug-01,0.16
Jul-01,0.16
Jun-01,0.15
May-01,0.15
Apr-01,0.15
Mar-01,0.16
Feb-01,0.17
Jan-01,0.17
Dec-00,0.17
Nov-00,0.17
Oct-00,0.17
Sep-00,0.16
Aug-00,0.17
Jul-00,0.17
Jun-00,0.18
May-00,0.18
Apr-00,0.19
Mar-00,0.20
Feb-00,0.22
Jan-00,0.22