Date-Monthly,"Viet Nam, Wholesale, An Giang, Rice (25% broken), USD/kg" Commodity Code: 1006_42 ,"Viet Nam, Wholesale, Dong Thap, Rice (25% broken), USD/kg" Commodity Code: 1006_42 
Aug-21,0.35,0.35
Jul-21,0.36,0.36
Jun-21,0.41,0.39
May-21,0.44,0.44
Apr-21,0.45,0.43
Mar-21,0.47,0.46
Feb-21,0.49,0.46
Jan-21,0.50,0.46
Dec-20,0.50,0.45
Nov-20,0.47,0.45
Oct-20,0.44,0.43
Sep-20,0.43,0.42
Aug-20,0.43,0.43
Jul-20,0.39,0.39
Jun-20,0.40,0.40
May-20,0.42,0.41
Apr-20,,0.41
Mar-20,0.37,0.37
Feb-20,0.33,0.32
Jan-20,0.33,0.32
Dec-19,0.33,0.32
Nov-19,0.33,0.31
Oct-19,0.31,0.31
Sep-19,0.30,0.29
Aug-19,0.31,0.30
Jul-19,0.30,0.30
Jun-19,0.29,0.29
May-19,0.32,0.33
Apr-19,0.32,0.32
Mar-19,0.32,0.32
Feb-19,0.31,0.32
Jan-19,0.34,0.34
Dec-18,0.37,0.36
Nov-18,0.39,0.39
Oct-18,0.39,0.40
Sep-18,0.36,
Aug-18,0.36,
Jul-18,0.39,
Jun-18,0.39,
May-18,0.39,
Apr-18,0.38,
Mar-18,0.39,0.39
Feb-18,0.40,0.35
Jan-18,0.36,0.36
Dec-17,0.36,0.36
Nov-17,0.36,0.36
Oct-17,0.35,0.35
Sep-17,0.35,0.34
Aug-17,0.35,0.35
Jul-17,0.34,0.36
Jun-17,0.32,0.33
May-17,0.30,0.31
Apr-17,0.31,0.32
Mar-17,0.32,0.32
Feb-17,0.31,0.32
Jan-17,0.30,0.31
Dec-16,0.30,0.31
Nov-16,0.31,0.32
Oct-16,0.29,0.31
Sep-16,0.30,0.32
Aug-16,0.31,0.33
Jul-16,0.31,0.33
Jun-16,0.32,0.33
May-16,0.34,0.33
Apr-16,0.34,0.34
Mar-16,0.34,0.34
Feb-16,0.33,0.33
Jan-16,0.34,0.34
Dec-15,0.34,0.34
Nov-15,0.34,0.34
Oct-15,0.31,0.32
Sep-15,0.31,0.31
Aug-15,0.31,0.31
Jul-15,0.30,0.31
Jun-15,0.31,0.31
May-15,0.32,0.31
Apr-15,0.33,0.32
Mar-15,0.33,0.32
Feb-15,0.33,0.31
Jan-15,0.33,0.32
Dec-14,0.34,0.34
Nov-14,0.37,0.36
Oct-14,0.38,0.37
Sep-14,0.39,0.38
Aug-14,0.39,0.38
Jul-14,0.36,0.36
Jun-14,0.35,0.34
May-14,0.35,0.34
Apr-14,0.34,0.34
Mar-14,0.36,0.35
Feb-14,0.37,0.36
Jan-14,0.37,0.36
Dec-13,0.38,0.37
Nov-13,0.35,0.35
Oct-13,0.34,0.33
Sep-13,0.33,0.32
Aug-13,0.34,0.34
Jul-13,0.33,0.33
Jun-13,0.33,0.33
May-13,0.34,0.34
Apr-13,0.34,0.35
Mar-13,0.34,0.35
Feb-13,0.34,0.34
Jan-13,0.36,0.35
Dec-12,0.37,0.37
Nov-12,0.39,0.40
Oct-12,0.39,0.40
Sep-12,0.39,0.38
Aug-12,0.37,0.37
Jul-12,0.35,0.35
Jun-12,0.35,0.35
May-12,0.36,0.36
Apr-12,0.35,0.36
Mar-12,0.35,0.35
Feb-12,0.37,0.36
Jan-12,0.39,0.39
Dec-11,0.44,0.43
Nov-11,0.49,0.49
Oct-11,0.48,0.49
Sep-11,0.47,0.47
Aug-11,0.46,0.47
Jul-11,0.42,0.43
Jun-11,0.41,0.41
May-11,0.42,0.41
Apr-11,0.41,0.41
Mar-11,0.39,0.39
Feb-11,0.39,0.40
Jan-11,0.43,0.44
Dec-10,0.47,0.46
Nov-10,0.45,0.44
Oct-10,0.41,0.41
Sep-10,0.40,0.39
Aug-10,0.33,0.33
Jul-10,0.29,0.30
Jun-10,0.31,0.32
May-10,0.32,0.32
Apr-10,0.32,0.32
Mar-10,0.32,0.34
Feb-10,0.42,0.41
Jan-10,0.45,0.45
Dec-09,0.45,0.46
Nov-09,0.38,0.41
Oct-09,0.35,0.35
Sep-09,0.32,0.32
Aug-09,0.33,0.33
Jul-09,0.35,0.34
Jun-09,0.34,0.34
May-09,0.36,0.35
Apr-09,0.38,0.37
Mar-09,0.37,0.37
Feb-09,0.34,0.35
Jan-09,0.30,0.29
Dec-08,0.29,0.29
Nov-08,0.31,0.27
Oct-08,0.36,0.35
Sep-08,0.37,0.38
Aug-08,0.45,0.43
Jul-08,0.48,0.46
Jun-08,0.53,0.50
May-08,0.53,0.54
Apr-08,0.45,0.45
Mar-08,0.41,0.41
Feb-08,0.36,0.36
Jan-08,0.33,0.33